,10-50-1,15-75-1,20-100-1,10-50-2,15-75-2,20-100-2,10-50-4,15-75-4,20-100-4
Number of Iterations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Initial Temperature,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Stopping Temperature,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Step Size,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Time Elapsed,0.4121680000000083,0.9958349999999996,2.4119979999999828,0.47033300000001077,1.0333669999999984,2.042032000000006,0.4090590000000134,0.9414819999999793,1.9318810000000042
Number of beds,10.0,15.0,20.0,10.0,15.0,20.0,10.0,15.0,20.0
Number of patients,50.0,75.0,100.0,50.0,75.0,100.0,50.0,75.0,100.0
Max allowed deviation,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0
Objective function,458.0,898.0,1173.0,497.0,828.0,1220.0,483.0,866.0,1011.0
Percentage leftover slots out of prescribed,0.5533333333333333,0.7244444444444444,0.7766666666666666,0.6466666666666667,0.7066666666666667,0.79,0.7,0.72,0.7033333333333334
Count 0,16.0,40.0,58.0,21.0,32.0,54.0,26.0,34.0,56.0
Count 1,12.0,17.0,27.0,13.0,28.0,32.0,13.0,30.0,21.0
Count 2,12.0,13.0,8.0,9.0,9.0,12.0,3.0,5.0,10.0
Count 3,9.0,3.0,5.0,6.0,4.0,1.0,7.0,3.0,6.0
